id,artist_name,artist_bio
62,Angelica Tcherassi,"Angelica Tcherassi is a Colombian abstract artist and product designer. Born in Barranquilla, she has lived in Barcelona since 2003."
63,Isabelle van Zeijl,Isabelle van Zeijl is an internationally well-known photographer recognized for her ability to create striking self-portraits with depth and meaning.
64,Frederick J. Brown,Frederick J. Brown was an American visual artist arguably best known for his extensive portrait series of jazz and blues musicians.
65,Koray Erkaya,"Koray Erkaya is a Turkish artist who began his professional career as a photographer three decades ago, working in fashion and advertisement."
66,Jorge Mendez Blake,"Throughout his career, the Mexican contemporary artist Méndez Blake has been exploring the possible relations between literature and fine arts."
67,John Van Alstine,"John Van Alstine is an American contemporary artist known for his sculptures made of stone and metal, usually granite or slate, and found object steel."
68,Paloma Castello,"Interested in playing with memory and relating it to the present, Paloma Castello is a Colombian photographer born in Bogotá."
69,Linling Lu,"Linling Lu is a Chinese contemporary artist widely known for her hard-edge, circular abstract paintings with concentric rings of color."
70,Syd Solomon,"Syd Solomon is best known for works illustrating his fascination with the climatic and overall environmental conditions of land, sea, and sky.
"
71,James Walsh,"James Walsh is an American painter known for dazzling paintings characterized by vibrant color pallet and fluidity reminiscent of post war abstraction. 
"
72,David Burdeny,David Burdeny is a Canadian photographer whose works occupy an artistic middle ground between the concrete and the spiritual.
73,Mira Schendel,"Mira Schendel was a Brazilian artist, considered one of the most significant Latin American artists of the 20th century."
74,Paul Snell,"Paul Snell combines traditional and digital techniques to explore the possibilities of abstraction and minimalism in contemporary photo-media. 
"
75,Armando de la Garza,Armando de la Garza is a Mexican contemporary artist who began studying painting at an early age and started his professional art career at 22.
76,Dmitri Wright,Dmitri Wright is an American contemporary artist whose both current and past work has been labeled as abstract impressionist.
77,Michael Knigin,"Michael Knigin was an American painter and printmaker, particularly well versed in screenprinting and known as a master of lithography.
"
78,Anthony James,Anthony James is a British/American artist widely known and recognized for his monumental and experiential sculptures and installations.
79,Billy Ma,"Billy Ma is a contemporary artist born in Taiwan and raised in Canada who uses his unique heritage to make characteristic and border breaking pieces of art.
"
80,Peter Max,"Peter Max is a German-born American illustrator and graphic artist, known for the use of psychedelic shapes and color palettes as well as spectra in his work."
81,Francesca Piqueras,"Born in Italy, Francesca Piqueras is a French photographer interested in objects man makes for the purposes of economy and war."
82,Kyle Andrew Szpyrka,Kyle Andrew Szpyrka is an American contemporary artist whose paintings are based on the journey of self-discovery and spiritual awakening.
83,Margaret Roleke,"Margaret Roleke is an American mixed media artist focusing on issues such as racism, gun violence, global warming, and an assault on the truth."
84,Mr. Brainwash,"Mr. Brainwash – often written MBW – is a name used by Paris-born, Los Angeles-based self-proclaimed filmmaker and street artist Thierry Guetta.
"
85,Marc Lagrange,"Marc Lagrange was a Belgian photographer whose work celebrates fantasies and desire, focusing on the female beauty. Lagrange was born in Kinshasa, Congo."
86,Alex Katz,Alex Katz is an American painter and printmaker renowned for his simplified approach that examines the limitations of portraits and landscapes.
87,Frank Wimberley,"An American Abstract Expressionist painter, Frank Wimberley is celebrated for his dynamic paintings that evoke the movement of jazz. 
"
89,AKET,"AKET is a French artist who creates his distinct neo-cubist works on canvas, sneakers, murals, and even on American stock certificates."
90,Rodrigo Spinel,"Rodrigo Spinel is a Colombian artist who uses drawing as a way to explore the relevance of detail in the construction of images, objects and spaces."
91,Luca Artioli,"Luca Artioli is an Italian artist, poet, and photographer, known around the world. Born in Milan, he has been living in Miami since 2008."
92,Mark Jackson,More details will be coming shortly.
93,Jeff Koons,Jeff Koons is an American artist known for his reproductions of banal objects—such as Balloon animals produced in stainless steel with mirror finish surfaces.
94,Gabriel Rico,"A Mexican contemporary artist, Gabriel Rico creates work characterized by the interrelation of seemingly disparate objects."
95,Konstantin Bokov,"Konstantin Bokov is a Ukrainian contemporary artist widely known for his paintings and drawings. He immigrated to the USA in 1974, settling in New York. 
"
96,Susan Woldman,"A sculptor at heart, Susan Woldman is an American contemporary artist who brings the sculpting sensibility into her paintings."
97,John Opper,"An American abstract painter active for over six decades, John Opper was an early member of the New York School known for his distinct handling of color.
"
98,Nikolaos Schizas,"Nikolaos Schizas is a Greek artist based in Barcelona, who creates dynamic abstract paintings that radiate with vibrant splashes of color."
99,Seb Janiak,Seb Janiak is a French multimedia artist known for his extraordinary and hyper-realistic photographs of mysterious forces of natural phenomena.
100,Erro,"Erro is an Icelandic Pop Art and Postmodern artist, whose work includes painting, drawing, collage, printmaking, sculpture, and film. 
"
101,Martin Reyna,"Martín Reyna is an Argentinian-born contemporary artist widely known and recognized for his gestural abstract paintings. He lives and works in Paris.
"
102,Charo Oquet,"Charo Oquet is a Dominican multidisciplinary artist, curator and cultural producer concerned with new narratives and subjectivities."
103,Alexander Calder,"Alexander Calder was an American artist, best known as a sculptor - originator of so called mobile, a type of kinetic sculpture."
104,Lowell Nesbitt,"Lowell Blair Nesbitt was an American painter, draughtsman, printmaker and sculptor. She was born in 1933 in Baltimore, Maryland, United States."
105,Matt Siren,"Matt Siren is an American street artist and illustrator, best known for his trademark Ghost Girl image. Siren was born in New York.
"
106,Macha Poynder,"Macha Poynder is a Russian-born, Paris-based artist whose multi-disciplinary oeuvre is inspired by the philosophies and aesthetic principles of Abstract Expressionism.
"
107,William Perehudoff,"Considered to be one of Canada’s most significant Modernists, William Perehudoff is most closely associated with colour field painting.
"
108,Ana Seggiaro,Ana Seggiaro is an Argentinian contemporary artist. She studied drawing and engraving at the National School of Fine Arts Prilidiano Pueyrredón.
109,Silvia Yapur,Silvia Yapur is an Argentinian mixed media artist who intuitively incorporates different materials needed for each work.
110,Roberto Matta,"Chilean-born Roberto Matta was a painter with an often questioned legacy despite heavily influencing and being a part of both Abstract Expressionism and Surrealism.
"
111,Matt Mullican,"Matt Mullican is an American visual artist, who has over the years created a complex body of work that deals with systems of knowledge, meaning, and language through drawing, collage, video, sculpture, performance, and installation."
112,Mark Kostabi,"Kalev Mark Kostabi is an artist and composer born in 1960 in Los Angeles, CA. His work was included in many solo and group exhibitions."
113,Jill Nathanson,"Best known for her soft color-field paintings, the American abstract artist Jill Nathanson works through a systematic, multistep process. 
"
114,Risaburo Kimura,Risaburo Kimura was a Japanese painter and printmaker whose theme was the construction and decay of a city. He moved to New York in 1964.
115,Laura Marsh,"Laura Marsh is an American textile artist with a social practice, whose spheres, flags, and installations contain social mottos and humanitarian texts."
116,Mario Rossi,"Mario Rossi is an Italian photographer whose view on photography is influenced by a ""pictorial"" vision of space derived from his studies."
117,Daniel Gottin,"Daniel Göttin is a Swiss artist. Working in a manner of minimal art, Daniel creates site-specific wall-works and paintings.
"
118,Jill Baroff,The American artist Jill Baroff examines the ever-changing nature of perception and our place within the world.
119,Martin Kline,"Martin Kline is an American painter, draughtsman, and sculptor, though these three practices can sometimes blend into a single artwork."
120,Katika,"Katika is a Hungarian-born Russian fiber artist working primarily in the field of crochet art, looking into themes such as human attachment."
121,Liz Leggett,More details will be coming shortly.
122,Stephen Pace,"An American artist Stephen Pace is known for exuberant style applied Abstract Expressionist scale and directness to figurative painting. 
"
123,Roberto Fonfria,"Roberto Fonfría is a Venezuelan artist who creates stories through a random mix of found images, photographs, drawings, and words."
124,Shepard Fairey,"Shepard Fairey is an American contemporary street artist, graphic designer, activist and illustrator who emerged from the skateboarding scene."
125,James Rosenquist,"James Rosenquist is an American painter, print-maker and sculptor. He references to mass-production and mass media, together with a dispassionate and seemingly anonymous technique.
"
126,Charlotte Park,"A natural painter and gifted colorist, Charlotte Park made an important contribution to the Abstract Expressionist movement during its early years.
"
128,Ken Greenleaf,"A committed modernist, working in the minimalist tradition, Ken Greenleaf creates work embedded in a philosophical and theoretical framework."
129,Edward Zutrau,"In a constant search for clarity and concision, the American artist Edward Zutrau blended precepts of the New York School with a strong physicality.
"
130,Deborah Bigeleisen,"Deborah Bigeleisen is an American contemporary artist widely known for her floral paintings, always using a single image of a flower as her inspiration."
131,Michael James O’Brien,"Michael James O’Brien is an American photographer, teacher, curator, poet and activist, whose works have been published internationally."
132,Shine Huang,"Shine Huang is a Chinese-born photographer based in Atlanta, Georgia. His work focuses mainly on culture and human nature."
133,Vicky Martin,Vicky Martin is a British photographer best known for her conceptual portraits depicting the conflict between themes of fantasy and reality.
134,Demis Martinelli,More details will be coming shortly.
135,Xan Padron,More details will be coming shortly.
136,Marc Chagall,"Marc Chagall was a Belorussian-born Russian-French Modernist artist whose career spanned over seventy years. 
"
137,Jessica Stockholder,"Jessica Stockholder is an American sculptor and installation artist whose works challenge boundaries among painting, sculpture, and environment."
138,Sophie Calle,"Sophie Calle is a French photographer, installation author and a conceptual artist whose notorious and controversial reputation by far precedes her.
"
139,Yari Ostovany,"Yari Ostovany is an Iranian-American abstract painter, known for his explorations of the alchemy of paint, color, light, texture and the poetics of space.
"
140,Carroll Dunham,"Best known for his brightly colored biomorphic paintings, artist Carroll Dunham born in 1849, creates humorous images with a sexual connotation."
141,Matthieu Venot,Matthieu Venot is a French photographer known for his cleanly composed minimalist images that stand out from a deep blue sky.
142,John Goodyear,"A celebrated Op artist, John Goodyear re-contextualized the viewer’s present observation through painting, drawing, light, optics, installation, and heat.
"
143,Gerald Williams,"Gerald Williams is an American visual artist who was a crucial figure of the Black Arts Movement, and a founding member of the artist group AfriCOBRA."
144,David Jay,David Jay is a well-known American photographer whose work gives a unique and intimate perspective on how we define beauty.
145,Mabelin Castellanos,More details will be coming shortly.
146,Margaret Ann Withers,"Margaret Ann Withers is an American painter, sculptor and poet. Originally from Texas, she lives and works in New York City."
147,Jitka Hanzlova,Jitka Hanzlová is best known for her portraiture which bears on the relationship of the individual with the context in which that person lives.
148,Rosana Machado Rodriguez,More details will be coming shortly.
149,Deborah Kass,"Deborah Kass, born in 1952, is an American artist whose work explores the intersection of pop culture, art history, and the self.
"
150,Sylvie Blum,"Sylvie Blum is an Austrian artist who lives and works in Los Angeles, CA. She offers a unique perspective on the female form."
151,Terry Winters,"Terry Winters is an American artist whose minimalist paintings are depicting organic shapes, abstracted botanicals, and scientific processes."
152,Bruno Munari,"Bruno Munari was a recognized Italian artist known for various contributions to modernism, futurism, and concrete art, as well as in non-visual arts."
153,Andrew Rucklidge,"A Canadian artist, Andrew Rucklidge explores themes harnessed chaos, as well as the excavation and the geology of paint. He"
154,Jacquelyn Thunfors,"Jacquelyn Thunfors is a Swedish-American journalist, artist, and educator, who began painting upon realizing at midlife that words have their limit."
155,Kathleen Hope,"Based in Fountain Hills, Arizona, Kathleen Hope is an American contemporary abstract mixed media artist who works in cement, plaster and encaustic."
156,Kyohei Inukai,"Kyohei Inukai was a Japanese-American artist known for his own brand of illusionary art. As Earle Goodenow, he illustrated children's books in the 1940s."
157,Monika Bravo,Monika Bravo is a Colombian multi-disciplinary artist who examines the notion of perception by questioning whether the world we live in.
158,Stefano Ogliari Badessi,"Stefano Ogliari Badessi, also known as SOB or S.O.B., is an Italian nomadic installation artist inspired by life, nature and dreams."
159,Stefana McClure,"Stefana McClure focuses on discrepancies in translation, fascinated by the gray area that exists between languages and cultures."
160,Daniel Arsham,"Daniel Arsham is an American contemporary artists, best known for his cutting-edge architectural and sculptural designs.
"
161,Keith Haring,"Leaving a resonating effect on the street art of New York and art in general, Keith Haring created largely public available artwork in the 20th century,"
162,Alan Johnston,"A British contemporary artist, Alan Johnston explores spatial contexts and relations through drawing and architectural construction."
163,Ramon Santiago,"Ramon Santiago was an American artist widely known and recognized for his figurative style mixed with elements of fantasy.
"
164,Max Steven Grossman,"Born in Barranquilla, Max Steven Grossman is a Colombian digital photographer whose work ranges from Bookscapes to landscapes and nature."
165,JeeYoung Lee,"JeeYoung Lee, also known as Jee Young Lee or Jee-Young Lee, is a South Korean multidisciplinary artist widely known for her constructed photographs."
166,Adrienn Krahl,"Working in various mediums, Adrienn Krahl is a Hungarian artist whose paintings express a profound sense of drama and emotional weight."
167,Sarah J. & Sally A. Edwards,"Sarah J. & Sally A. Edwards are British twin sisters who work as Photographer and Art Director, respectively. They created BLAG."
168,Casey Waterman,"Casey Waterman is an American artist whose work is based primarily on the creation of a cut image from a photograph, drawing, or other forms of visual media."
169,Daru,"Daru is a French graffiti artist and painter, whose work creates parodies that entertain as well as criticize contemporary society."
170,Carol Erb,More details will be coming shortly.
171,Natalia Schonowski,More details will be coming shortly.
172,David Hockney,"David Hockney is a celebrated English painter, printmaker, photographer and stage designer who was a crucial figure of the  Britain's Pop art movement.
"
173,Wolf Kahn,"Wolf Kahn is a German-born American painter best known for his unique blend of Realism and the formal discipline of Color Field painting.
"
174,Donald Sultan,"Donald K. Sultan is an American artist, known for his large-scale still-life paintings, and for using industrial materials such as tar and enamel.
"
175,Theo Tobiasse,"Théo Tobiasse was born in Israel in 1927. Originally from Lithuania, his family hoped to find the promised land there.
"
176,Chen Fei,"Chen Fei is known for his narrative paintings, fantasised, often perverted, constructs those transpose elements from his personal life."
177,Joannis Avramidis,"Joannis Avramidis was a Greek-Austrian sculptor. He was born in Batumi, Georgia in 1922 to a family of Caucasus Greek origin.
"
178,Arvid Boecker,"Arvid Boecker is a German abstract painter whose work mobilizes the tensions and harmonies that exist between color relationships, textures, and the processes of time. 
"
179,Robert Rauschenberg,"Robert Rauschenberg, born as Milton Rauschenberg in 1925, in Port Arthur, Texas, was one of the central figures in the development of post-war American art.
"
180,Peter Doig,"Peter Doig is a Scottish painter, born on 17 April 1959 in Edinburgh. He is considered one of the most renowned living figurative painters.
"
181,Antoni Tapies,"Antoni Tàpies was a Spanish painter, sculptor and art theorist, who became one of the most famous European artists of his generation.
"
182,Dana Gordon,"Dana Gordon, born in 1946, is an American abstract painter who explored playful shapes and intense colors to depict an exuberant abstraction."
183,Olivier Valsecchi,"Olivier Valsecchi is a French photographer, born in 1979.  He studied photography at ETPA Photography School in Toulouse."
184,Perle Fine,"An American abstract artist, Perle Fine one of the first women to be admitted to the Artist's Club, which was no small feat at the time.
"
185,Alain Laboile,Alain Laboile is a French sculptor and photographer best known for the photographs of his large family. He became a photographer in 2004.
186,Sunday B. Morning,Sunday B. Morning represents a name for a group of anonymous Belgians who were given Warhol’s original negatives and who produce high-quality prints.
187,Manuela Karin Knaut,Manuela Karin Knaut is a German contemporary artist best known for her paintings and installations. She is currently living and working in Braunschweig.
188,Alec Franco,Alec Franco is an Argentinian contemporary artist. He’s been painting since 1991 and has worked as a graphic designer since 1995.
189,Sergio Bazan,"Sergio Bazán is an Argentinian artist. He also writes art texts, works as a curator, and is currently the director of visual arts at the Fundación Cazadores."
190,Tony Tasset,"Tony Tasset is an American multimedia artist best known for his large-scale public sculptures that satirically explore pop culture and mass marketing.  
"
191,Scott Reeder,"American artist Scott Reeder is known for creating paintings, installations, and sculptures of simple forms that explore and address complex ideas."
192,Lakshmi Mohanbabu,"Lakshmi Mohanbabu is a talented artist from Singapore who creates works in a wide range of mediums including design, architecture, illustrating and painting.
"
193,Anthea Missy,"French-born and based in Brussels, Anthea Missy is a self-taught artist whose street and canvas works aim at causing positive changes within the community.
"
194,Richard Caldicott,RICHARD CALDICOTT is a British artist who explores mainly photography by creating abstract compositions.
195,Paola Pivi,"Paola Pivi is an Italian contemporary artist,known for her work in a wide range of mediums, such as photography, sculpture, site-specific installations and performance."
196,Joanne Freeman,"Joanne Freeman is an American contemporary artist born in 1954. She is known for her abstract, minimalist and reductive paintings.
"
197,Debra Ramsay,"Debra Ramsay is an American contemporary artist known for her abstract works that recall color field paintings from the 1960s.
"
198,Bernhard Lang,"Bernhard Lang is a German photographer known for his daredevil photos of landscapes taken by the artist strapped underneath an ultralight aircraft.
"
199,Devin Miles,"Devin Miles is a German contemporary artist widely known and appreciated for his Pop-art depictions of famous people and imagery.
"
200,Ulla Pedersen,"Ulla Pedersen is a Danish abstract artist. Her work is a minimal and concrete exploration of color, materiality, form, and balance.
"
201,Susan Vecsey,"Susan Vecsey is celebrated for minimal and captivating works, featuring abstract swatches of color evocative of shapes found in nature.
"
203,Tiago Mestre,"Trained as an architect, Tiago Mestre’s sculptures, paintings, and installations reflect his status as a Portuguese artist living and working in Brazil."
204,Mary Dill Henry,"Mary Dill Henry was an American artist whose bold geometric abstractions are known for their formal gymnastics, breathtaking scale and audacious color."
205,Stylianos Schicho,Stylianos Schicho is an Austrian artist known for large-scale works that depict both humans and animals. His works are a blend of drawing and painting.
206,Betty Merken,"Working in painting, printmaking, and sculpture, Betty Merken is an American artist who considers color and materiality to be paramount."
207,Albert Stadler,"A leading figure in the rise of color abstraction, Albert Stadler explored the nature of optical experience, inviting invitation the viewer to participate.
"
208,Edward Avedisian,"The work of the American abstract painter Edward Avedisian was initially associated with Color field painting and later with Lyrical Abstraction.
"
209,Ray Mead,Ray Mead was a Canadian abstract expressionist painter and a founding member of the artists group Painters Eleven.
210,Jean-Philippe Delhomme,"Jean-Philippe Delhomme is best known for painting scenes devoid of any human presence, based on direct observation of the urban landscapes big cities."
211,Cecilia Arrospide,"Cecilia Arróspide is a Peruvian artist whose work is mainly abstract expressionist, but she also creates artworks that can be categorized as surrealist."
212,Santiago Medina,Santiago Medina is a Colombian-American contemporary sculptor and a pioneer in the use of advanced medical imaging technology in sculpting.
213,Francisco Larios,"Francisco Larios is a Mexican artist who practices painting, drawing, and software to create two and three-dimensional visual environments."
214,Susan Schwalb,Susan Schwalb is an American artist whose primary medium is the Renaissance technique of silverpoint and metalpoint drawing.
215,Arman,"Armand Pierre Fernandez Arman was a French-born American artist, one of the co-founders of a Nouveau réalisme movement, a French reaction to Pop Art.
"
216,Ray Parker,"Raymond Parker was known as an Abstract expressionist painter who also is associated with Color Field painting and Lyrical Abstraction.
"
217,Luuk de Haan,"Using a blend of digital tools and organic processes, Dutch artist Luuk de Haan makes unique and visually stunning artwork that can easily astound its viewers."
218,Elizabeth Gourlay,"Elizabeth Gourlay is an American contemporary artist who explores the possibilities of color, form and architectural space in her abstract paintings.
"
219,Holly Miller,"Holly Miller is an American artist, known for fusing optical and tactile in her abstract paintings. The artist was born in 1958 in Buffalo, NY.
"
220,Tracey Adams,"Tracey Adams is known for her colorful abstract paintings, prints and monotypes inspired by nature, music, mathematics and Japanese art. 
"
221,Stephen Maine,Stephen Maine is an American abstract painter who developed an incredible process of art making that in return enables him to create visually stunning pieces.
222,Laura Newman,"Laura Newman is an established American contemporary artist known for abstract and colorful paintings. 
"
223,Kiki Kogelnik,"Kiki Kogelnik was an Austrian painter and sculptor who is lauded for her contribution to the Pop art, a movement she never wanted to be directly associated with.
"
224,Elena Monzo,"Elena Monzo is an Italian artist who was born in 1981, in Orzinuovi. She lives and works between Brescia and Milan."
225,Peterson Kamwathi,"Peterson Kamwathi an established Kenyan artist best known for his painterly based practice saturated with various  social and political references. 
"
226,Doris Marten,Doris Marten is a German contemporary artist whose paintings explore the visual effects created by the harmony between light and color.
227,Irene Nelson,"Irene Nelson is an American abstract painter who approaches each work of art in a similar, intuitive manner, letting the moment guide her."
229,Nanette Carter,"Nanette Carter is an American artist who creates sea, sky, and landscapes in which she explores political themes and the drama of human nature."
230,Elizabeth Osborne,"Working primarily in oil paint and watercolor, Elizabeth Osborne is an American artist and one of the premier figures of postwar art in Philadelphia."
231,Laetitia Adam-Rabel,"Laetitia Adam-Rabel, also known as Laeti, is a Haitian-American artist who uses various media to address social and personal issues."
232,Giulia Ronchetti,More details will be coming shortly.
233,Sven Pfrommer,More details will be coming shortly.
234,Silvia Trappa,More details will be coming shortly.
235,Troika,"Formed by Eva Rucki, Conny Freyer and Sebastien Noel, the artist trio Troika deals with the various relationships we form with technology."
236,Artur Lescher,"The Brazilian artists creates objects that explore the mechanics of form and movement, balance and tension, and architectural spaces."
237,Roy Dowell,"An American contemporary visual artist, Roy Dowell is best known for abstract compositions combining collage and painted elements, and elements of mass media."
238,Matthew Carver,"Matthew Carver explores if something pleasing and beautiful can shift, nudge, and hint at something darker and possibly foreboding."
239,Gabriele Huesgen,"Gabriele Huesgen is a German contemporary freelance artist based in Essen, widely known and recognized for her paintings, sculptures, and jewelry."
240,Desiree Patterson,"Based in Vancouver, British Columbia, Desirée Patterson is a Canadian photographic artist known for her unique aesthetic approach."
243,Christy Powers,More details will be coming shortly.
244,Ying Chen,"Born in Tokyo to Chinese parents living in Japan, Ying Chen is an artist who’s been focused on photo collages since 2018."
245,Razzia,Gerard Courbouleix-Deneriaz known as Razzia is a French graphic artist who creates painted posters in a manner of Art Deco tradition.
